Company,Description,Industry,Location,URL
株式会社ＫＫＵ,"
                  海外輸出事業を行う会社
                ",その他サービス業界の会社,"
                  本社住所: 東京都港区三田３丁目１番４号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9125807e-080a-41eb-955f-3d5fb7ae542e
株式会社まる,"
                  食品の輸出入とご当地グルメ店の運営を行う会社
                ",小売業界の会社,"
                  本社住所: 福岡県福岡市東区箱崎ふ頭５丁目２番２２号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9f3cc4f3-5570-4353-8d50-c48ba4c5d5c9
三木商事株式会社,"
                  金属スクラップ買取、およびミックスメタルスクラップの輸出を行っている会社
                ",その他サービス業界の会社,"
                  本社住所: 福岡県福岡市東区多の津１丁目１６番４号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/4e9a8ccc-e6c1-4fc0-bbff-bc1e55a34322
株式会社サンテイ,"
                  紳士服と婦人服に関わる貿易業務を行う会社
                ",アパレル・美容業界の会社,"
                  本社住所: 岐阜県関市山王通１丁目５番７号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/10c427da-a985-4bca-ad59-ecd98c11e903
株式会社ディメンションデラソウル,"
                  衣料品や雑貨などの企画や製造および卸売、販売などを行う会社
                ",生活用品業界の会社,"
                  本社住所: 大阪府大阪市中央区西心斎橋１丁目９番１６号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/53ba4c77-3eb9-4a36-a572-433bd2aa2529
ＨＡＳＣＯ　ＪＡＰＡＮ株式会社,"
                  上海海華輪船有限公司の日本法人で、海運代理店業や海上貨物利用運送業を営む会社
                ",運輸・物流業界の会社,"
                  本社住所: 東京都中央区新川２丁目８番４号ナカリンオートビル４階
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b48ab46b-2c14-40f5-9164-e2d44c756ccd
有限会社パワーステージ,"
                  通訳や翻訳などを手掛ける会社
                ",機械関連サービス業界の会社,"
                  本社住所: 新潟県上越市寺町２丁目１０番２５号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/df873ce0-c99f-4eb9-8aad-4e9f27e09c6d
株式会社山本精密,"
                  携帯電話のヒンジ等の精密部品の開発および製造を行う会社
                ",製造業界の会社,"
                  本社住所: 埼玉県狭山市富士見２丁目１５番２号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/ec87e9dc-515f-47d3-841a-3dc33c9cf329
株式会社シェアスタイル,"
                  自動車用品販売及び取り付け、ハンモック販売やベトナムとの貿易代行を行う会社
                ",商社業界の会社,"
                  本社住所: 福岡県太宰府市高雄１丁目３６６８番地１０
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/5d81a532-8fc1-4b12-a134-9d13cba2cafb
株式会社グローバルブランド,"
                  アメリカやカナダへの貨物の配送を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 愛知県名古屋市西区上名古屋３丁目２５番２８号第七猪村ビル３階
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/3cc0098e-cfbe-427c-888e-5cd1b4f04f31
株式会社ゴダック,"
                  高級水産物の貿易事業を展開する会社
                ",商社業界の会社,"
                  本社住所: 東京都中央区築地６丁目１６番１号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/5d519456-883e-4123-a99f-0f3a2ae78967
新和産業株式会社,"
                  繊維製品の卸売を行う会社
                ",商社業界の会社,"
                  本社住所: 神奈川県横浜市中区根岸町３丁目１２８番地
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/70eebed8-3a7c-4e4c-9ffb-7a6917b4db4e
久米商事株式会社,"
                  板金加工設備や電子部品など日本と中国の貿易を行う会社
                ",商社業界の会社,"
                  本社住所: 東京都中野区中央５丁目３９番１１号青柳ビル６階
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/2dcb3390-670f-4b60-b22c-6b971f8b23db
